node_id,base_stock,safety_stock
N000045,2359810982.8087463,39983980.20518674
N000182,91383254.89710511,716647.0451998624
N000199,60058060.525440186,491457.2995177069
N000266,427113857.8039068,9875027.485774769
N000860,2509.9521852365456,445.5450550374809
N000162,179441022.96160004,1924977.950937297
N000709,2332.592686495265,106.05048945633963
N000370,2024630.66768599,31964.648851982787
N000395,146002.2089581812,6015.812242272774
N000310,1162720.3411940096,49317.89800511491
N000299,16718533.272128584,177762.12068415742
N000373,30094151.526354533,548813.5007177872
N000896,0.0,0.0
N000706,93387.73210848434,3404.251417072074
N000919,143.23064603573278,30.06167133737691
N000601,7319116.12904574,167884.10253228515
N000322,92048458.00955988,832066.217776598
N000388,22179198.323647838,294635.1395400343
N000662,0.0,0.0
N000289,365720681.9038725,2391793.8271271633
N000300,185060963.1321202,1877983.4531371736
N000726,7615.340284932341,357.0428544822841
N000989,215.74513973070873,21.73314324830906
N000412,16180194.42326346,151821.96675160038
N000586,1331401.0060971722,20346.665802514406
N000678,319670.063342278,7375.419240214859
N000891,0.0,0.0
N000801,336.48435920131743,49.687633666072884
N000218,9309066.309873898,198600.38013465932
N000649,4386.869297625759,205.65855748988236
N000877,0.0,0.0
N000165,322402.7974530769,13007.326601875417
N000363,135061.97372582313,9557.203695521926
N000731,1443.0011133709372,50.1881733537644
N000018,405293761.80086654,2194796.0464048903
N000863,0.0,0.0
N000098,9304212772.995533,101691669.19743553
N000066,439587710.8594967,9652741.622907113
N000415,7333863.818873152,82615.09946941934
N000189,96014053.23725355,1256045.7315138925
N000700,30172.50103800966,1087.5295511436882
N000736,598449.4036553364,13892.79517001871
N000247,99513652.85406366,595535.8087728355
N000148,466200768.6968551,7247890.541536262
N000116,1706954310.891635,10068433.533192743
N000745,0.0,0.0
N000691,8717.081081723092,444.16482122774784
N000332,20074960.8990572,246857.30116799995
N000620,0.0,0.0
N000687,0.0,0.0
N000744,48515.46362311184,3200.1384013521215
N000902,0.0,0.0
N000252,170518298.14811444,4224488.178970488
N000974,0.0,0.0
N000230,3109275.6032052245,41689.00482656057
N000001,13792648922.083073,49704396.405560724
N000233,367606728.5804316,3106900.6783725116
N000612,0.0,0.0
N000570,369046.25922979804,8013.907422394075
